date, moonSet, moonRise
2023-02-24, 22:12, 08:47
2023-02-25, 23:17, 09:17
2023-02-26, 23:40, 09:49
2023-02-27, 00:21, 10:25
2023-02-28, 01:24, 11:05
2023-03-01, 02:22, 11:52
2023-03-02, 03:16, 12:44
2023-03-03, 04:03, 13:40
2023-03-04, 04:44, 14:38
2023-03-05, 05:20, 15:37
2023-03-06, 05:50, 16:36
2023-03-07, 06:17, 17:35
2023-03-08, 06:43, 18:33
2023-03-09, 07:07, 19:32
2023-03-10, 07:31, 20:32
2023-03-11, 07:57, 21:34
2023-03-12, 08:26, 22:39
2023-03-13, 08:59, 23:47
2023-03-14, 09:40, 00:26
2023-03-15, 10:29, 00:55
2023-03-16, 11:28, 02:01
2023-03-17, 12:36, 03:01
2023-03-18, 13:50, 03:53
2023-03-19, 15:05, 04:37
2023-03-20, 16:20, 05:14
2023-03-21, 17:32, 05:46
2023-03-22, 18:41, 06:15
2023-03-23, 19:50, 06:44
