date,hour,weather,temp,rainProb,rainMM,humid,windSpeed,windDir
2022-03-26,01,Cloudy,13.0,0,0,86,1,ENE
2022-03-26,02,Cloudy,13.5,0,0,88,1,SE
2022-03-26,03,Cloudy,13.0,0,0,88,1,S
2022-03-26,04,Cloudy,12.5,0,0,92,1,E
2022-03-26,05,Cloudy,12.5,0,0,90,1,ESE
2022-03-26,06,Cloudy,13.0,0,0,88,3,ESE
2022-03-26,07,Cloudy,14.0,0,0,86,2,ESE
2022-03-26,08,Light-rain,15.0,80,0,80,3,SE
2022-03-26,09,Light-rain,16.2,90,0,80,5,SE
2022-03-26,10,Light-rain,17.0,90,0,80,4,SSE
2022-03-26,11,Light-rain,16.8,100,0,80,5,SE
2022-03-26,12,Cloudy,16.0,80,0,86,7,SE
2022-03-26,13,Rain,15.1,100,1,88,6,SSE
2022-03-26,14,Rain,14.7,100,4,90,6,SSE
2022-03-26,15,Rain,14.7,100,7,92,7,SSE
2022-03-26,16,Rain,15.1,100,3,90,7,SSE
2022-03-26,17,Rain,15.5,100,2,90,6,SSE
2022-03-26,18,Rain,15.5,100,2,92,6,SSE
2022-03-26,19,Rain,15.7,90,2,92,5,SE
2022-03-26,20,Rain,15.8,80,2,92,5,SE
2022-03-26,21,Rain,15.9,60,2,92,4,SE
2022-03-26,22,Rain,16.0,30,1,94,3,SE
2022-03-26,23,Light-rain,16.0,30,0,94,2,SE
2022-03-27,0,Light-rain,15.8,30,0,96,3,NW
